,0,1,2,3,4,5,6,7,8
0,1,2:01:39,Eliud KIPCHOGE,05 NOV 1984,KEN,1,Berlin (GER),16 SEP 2018,1316
1,2,2:01:41,Kenenisa BEKELE,13 JUN 1982,ETH,1,Berlin (GER),29 SEP 2019,1315
2,3,2:02:37,Eliud KIPCHOGE,05 NOV 1984,KEN,1,London (GBR),28 APR 2019,1297
3,4,2:02:48,Birhanu LEGESE,11 SEP 1994,ETH,2,Berlin (GER),29 SEP 2019,1294
4,5,2:02:55,Mosinet GEREMEW,12 FEB 1992,ETH,2,London (GBR),28 APR 2019,1292
5,6,2:02:57,Dennis KIMETTO,22 APR 1984,KEN,1,Berlin (GER),28 SEP 2014,1291
6,7,2:03:00,Evans CHEBET,10 NOV 1988,KEN,1,Valencia (ESP),06 DEC 2020,1290
7,8,2:03:03,Kenenisa BEKELE,13 JUN 1982,ETH,1,Berlin (GER),25 SEP 2016,1289
8,9,2:03:04,Lawrence CHERONO,07 AUG 1988,KEN,2,Valencia (ESP),06 DEC 2020,1289
9,10,2:03:05,Eliud KIPCHOGE,05 NOV 1984,KEN,1,London (GBR),24 APR 2016,1288
10,11,2:03:13,Emmanuel MUTAI,12 OCT 1984,KEN,2,Berlin (GER),28 SEP 2014,1286
11,11,2:03:13,Wilson Kipsang KIPROTICH,15 MAR 1982,KEN,2,Berlin (GER),25 SEP 2016,1286
12,13,2:03:16,Mule WASIHUN,20 OCT 1993,ETH,3,London (GBR),28 APR 2019,1285
13,13,2:03:16,Birhanu LEGESE,11 SEP 1994,ETH,3,Valencia (ESP),06 DEC 2020,1285
14,15,2:03:23,Wilson Kipsang KIPROTICH,15 MAR 1982,KEN,1,Berlin (GER),29 SEP 2013,1283
15,16,2:03:30,Amos KIPRUTO,16 SEP 1992,KEN,4,Valencia (ESP),06 DEC 2020,1281
16,17,2:03:32,Eliud KIPCHOGE,05 NOV 1984,KEN,1,Berlin (GER),24 SEP 2017,1280
17,18,2:03:34,Getaneh MOLLA,10 JAN 1994,ETH,1,Dubai (UAE),25 JAN 2019,1279
18,19,2:03:36,Sisay LEMMA,12 DEC 1990,ETH,3,Berlin (GER),29 SEP 2019,1279
19,20,2:03:38,Patrick Makau MUSYOKI,02 MAR 1985,KEN,1,Berlin (GER),25 SEP 2011,1278
20,21,2:03:40,Herpasa NEGASA,11 SEP 1993,ETH,2,Dubai (UAE),25 JAN 2019,1278
21,22,2:03:42,Wilson Kipsang KIPROTICH,15 MAR 1982,KEN,1,Frankfurt (GER),30 OCT 2011,1277
22,23,2:03:45,Dennis KIMETTO,22 APR 1984,KEN,1,"Chicago, IL (USA)",13 OCT 2013,1276
23,24,2:03:46,Guye Idemo ADOLA,20 OCT 1990,ETH,2,Berlin (GER),24 SEP 2017,1276
24,25,2:03:51,Stanley Kipleting BIWOTT,21 APR 1986,KEN,2,London (GBR),24 APR 2016,1274
25,25,2:03:51,Kinde ATANAW,15 APR 1993,ETH,1,Valencia (ESP),01 DEC 2019,1274
26,27,2:03:52,Emmanuel MUTAI,12 OCT 1984,KEN,2,"Chicago, IL (USA)",13 OCT 2013,1274
27,28,2:03:58,Wilson Kipsang KIPROTICH,15 MAR 1982,KEN,1,Tokyo (JPN),26 FEB 2017,1272
