Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Age at race,Current age,Year of the race,TimeSec
0,2:01:39,Eliud KIPCHOGE,1984-11-05,KEN,1,Berlin (GER),2018-09-16,33,36,2018,7299.0
1,2:01:41,Kenenisa BEKELE,1982-06-13,ETH,1,Berlin (GER),2019-09-29,37,38,2019,7301.0
2,2:02:37,Eliud KIPCHOGE,1984-11-05,KEN,1,London (GBR),2019-04-28,34,36,2019,7357.0
3,2:02:48,Birhanu LEGESE,1994-09-11,ETH,2,Berlin (GER),2019-09-29,25,26,2019,7368.0
4,2:02:55,Mosinet GEREMEW,1992-02-12,ETH,2,London (GBR),2019-04-28,27,28,2019,7375.0
5,2:02:57,Dennis KIMETTO,1984-04-22,KEN,1,Berlin (GER),2014-09-28,30,36,2014,7377.0
6,2:03:00,Evans CHEBET,1988-11-10,KEN,1,Valencia (ESP),2020-12-06,32,32,2020,7380.0
7,2:03:03,Kenenisa BEKELE,1982-06-13,ETH,1,Berlin (GER),2016-09-25,34,38,2016,7383.0
8,2:03:04,Lawrence CHERONO,1988-08-07,KEN,2,Valencia (ESP),2020-12-06,32,32,2020,7384.0
9,2:03:05,Eliud KIPCHOGE,1984-11-05,KEN,1,London (GBR),2016-04-24,31,36,2016,7385.0
10,2:03:13,Emmanuel MUTAI,1984-10-12,KEN,2,Berlin (GER),2014-09-28,29,36,2014,7393.0
11,2:03:13,Wilson Kipsang KIPROTICH,1982-03-15,KEN,2,Berlin (GER),2016-09-25,34,38,2016,7393.0
12,2:03:16,Mule WASIHUN,1993-10-20,ETH,3,London (GBR),2019-04-28,25,27,2019,7396.0
13,2:03:16,Birhanu LEGESE,1994-09-11,ETH,3,Valencia (ESP),2020-12-06,26,26,2020,7396.0
14,2:03:23,Wilson Kipsang KIPROTICH,1982-03-15,KEN,1,Berlin (GER),2013-09-29,31,38,2013,7403.0
15,2:03:30,Amos KIPRUTO,1992-09-16,KEN,4,Valencia (ESP),2020-12-06,28,28,2020,7410.0
16,2:03:32,Eliud KIPCHOGE,1984-11-05,KEN,1,Berlin (GER),2017-09-24,32,36,2017,7412.0
17,2:03:34,Getaneh MOLLA,1994-01-10,ETH,1,Dubai (UAE),2019-01-25,25,26,2019,7414.0
18,2:03:36,Sisay LEMMA,1990-12-12,ETH,3,Berlin (GER),2019-09-29,28,30,2019,7416.0
19,2:03:38,Patrick Makau MUSYOKI,1985-03-02,KEN,1,Berlin (GER),2011-09-25,26,35,2011,7418.0
20,2:03:40,Herpasa NEGASA,1993-09-11,ETH,2,Dubai (UAE),2019-01-25,25,27,2019,7420.0
21,2:03:42,Wilson Kipsang KIPROTICH,1982-03-15,KEN,1,Frankfurt (GER),2011-10-30,29,38,2011,7422.0
22,2:03:45,Dennis KIMETTO,1984-04-22,KEN,1,"Chicago, IL (USA)",2013-10-13,29,36,2013,7425.0
23,2:03:46,Guye Idemo ADOLA,1990-10-20,ETH,2,Berlin (GER),2017-09-24,26,30,2017,7426.0
24,2:03:51,Stanley Kipleting BIWOTT,1986-04-21,KEN,2,London (GBR),2016-04-24,30,34,2016,7431.0
25,2:03:51,Kinde ATANAW,1993-04-15,ETH,1,Valencia (ESP),2019-12-01,26,27,2019,7431.0
26,2:03:52,Emmanuel MUTAI,1984-10-12,KEN,2,"Chicago, IL (USA)",2013-10-13,29,36,2013,7432.0
27,2:03:58,Wilson Kipsang KIPROTICH,1982-03-15,KEN,1,Tokyo (JPN),2017-02-26,34,38,2017,7438.0
28,2:03:59,Haile GEBRSELASSIE,1973-04-18,ETH,1,Berlin (GER),2008-09-28,35,47,2008,7439.0
29,2:04:00,Eliud KIPCHOGE,1984-11-05,KEN,1,Berlin (GER),2015-09-27,30,36,2015,7440.0
30,2:04:00,Mosinet GEREMEW,1992-02-12,ETH,1,Dubai (UAE),2018-01-26,25,28,2018,7440.0
31,2:04:02,Leul GEBRESILASE,1992-09-20,ETH,2,Dubai (UAE),2018-01-26,25,28,2018,7442.0
32,2:04:05,Eliud KIPCHOGE,1984-11-05,KEN,2,Berlin (GER),2013-09-29,28,36,2013,7445.0
33,2:04:06,Tamirat TOLA,1991-08-11,ETH,3,Dubai (UAE),2018-01-26,26,29,2018,7446.0
34,2:04:06,Asefa MENGSTU,1988-01-22,ETH,4,Dubai (UAE),2018-01-26,30,32,2018,7446.0
35,2:04:06,Lawrence CHERONO,1988-08-07,KEN,1,Amsterdam (NED),2018-10-21,30,32,2018,7446.0
36,2:04:08,Sisay LEMMA,1990-12-12,ETH,5,Dubai (UAE),2018-01-26,27,30,2018,7448.0
37,2:04:11,Eliud KIPCHOGE,1984-11-05,KEN,1,"Chicago, IL (USA)",2014-10-12,29,36,2014,7451.0
38,2:04:11,Tamirat TOLA,1991-08-11,ETH,1,Dubai (UAE),2017-01-20,25,29,2017,7451.0
39,2:04:11,Marius KIPSEREM,1988-05-17,KEN,1,Rotterdam (NED),2019-04-07,30,32,2019,7451.0
40,2:04:12,Reuben Kiprop KIPYEGO,1996-08-21,KEN,5,Valencia (ESP),2020-12-06,24,24,2020,7452.0
41,2:04:15,Geoffrey MUTAI,1981-10-07,KEN,1,Berlin (GER),2012-09-30,30,39,2012,7455.0
