Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Age at race,Current age
0,2:01:39,Eliud KIPCHOGE,1984-11-05,KEN,1,Berlin (GER),2018-09-16,33,36
1,2:01:41,Kenenisa BEKELE,1982-06-13,ETH,1,Berlin (GER),2019-09-29,37,38
2,2:02:37,Eliud KIPCHOGE,1984-11-05,KEN,1,London (GBR),2019-04-28,34,36
3,2:02:48,Birhanu LEGESE,1994-09-11,ETH,2,Berlin (GER),2019-09-29,25,26
4,2:02:55,Mosinet GEREMEW,1992-02-12,ETH,2,London (GBR),2019-04-28,27,28
5,2:02:57,Dennis KIMETTO,1984-04-22,KEN,1,Berlin (GER),2014-09-28,30,36
6,2:03:00,Evans CHEBET,1988-11-10,KEN,1,Valencia (ESP),2020-12-06,32,32
7,2:03:03,Kenenisa BEKELE,1982-06-13,ETH,1,Berlin (GER),2016-09-25,34,38
8,2:03:04,Lawrence CHERONO,1988-08-07,KEN,2,Valencia (ESP),2020-12-06,32,32
9,2:03:05,Eliud KIPCHOGE,1984-11-05,KEN,1,London (GBR),2016-04-24,31,36
10,2:03:13,Emmanuel MUTAI,1984-10-12,KEN,2,Berlin (GER),2014-09-28,29,36
11,2:03:13,Wilson Kipsang KIPROTICH,1982-03-15,KEN,2,Berlin (GER),2016-09-25,34,38
12,2:03:16,Mule WASIHUN,1993-10-20,ETH,3,London (GBR),2019-04-28,25,27
13,2:03:16,Birhanu LEGESE,1994-09-11,ETH,3,Valencia (ESP),2020-12-06,26,26
14,2:03:23,Wilson Kipsang KIPROTICH,1982-03-15,KEN,1,Berlin (GER),2013-09-29,31,38
15,2:03:30,Amos KIPRUTO,1992-09-16,KEN,4,Valencia (ESP),2020-12-06,28,28
16,2:03:32,Eliud KIPCHOGE,1984-11-05,KEN,1,Berlin (GER),2017-09-24,32,36
17,2:03:34,Getaneh MOLLA,1994-01-10,ETH,1,Dubai (UAE),2019-01-25,25,26
18,2:03:36,Sisay LEMMA,1990-12-12,ETH,3,Berlin (GER),2019-09-29,28,29
19,2:03:38,Patrick Makau MUSYOKI,1985-03-02,KEN,1,Berlin (GER),2011-09-25,26,35
20,2:03:40,Herpasa NEGASA,1993-09-11,ETH,2,Dubai (UAE),2019-01-25,25,27
21,2:03:42,Wilson Kipsang KIPROTICH,1982-03-15,KEN,1,Frankfurt (GER),2011-10-30,29,38
22,2:03:45,Dennis KIMETTO,1984-04-22,KEN,1,"Chicago, IL (USA)",2013-10-13,29,36
23,2:03:46,Guye Idemo ADOLA,1990-10-20,ETH,2,Berlin (GER),2017-09-24,26,30
24,2:03:51,Stanley Kipleting BIWOTT,1986-04-21,KEN,2,London (GBR),2016-04-24,30,34
25,2:03:51,Kinde ATANAW,1993-04-15,ETH,1,Valencia (ESP),2019-12-01,26,27
26,2:03:52,Emmanuel MUTAI,1984-10-12,KEN,2,"Chicago, IL (USA)",2013-10-13,29,36
27,2:03:58,Wilson Kipsang KIPROTICH,1982-03-15,KEN,1,Tokyo (JPN),2017-02-26,34,38
28,2:03:59,Haile GEBRSELASSIE,1973-04-18,ETH,1,Berlin (GER),2008-09-28,35,47
29,2:04:00,Eliud KIPCHOGE,1984-11-05,KEN,1,Berlin (GER),2015-09-27,30,36
30,2:04:00,Mosinet GEREMEW,1992-02-12,ETH,1,Dubai (UAE),2018-01-26,25,28
31,2:04:02,Leul GEBRESILASE,1992-09-20,ETH,2,Dubai (UAE),2018-01-26,25,28
32,2:04:05,Eliud KIPCHOGE,1984-11-05,KEN,2,Berlin (GER),2013-09-29,28,36
33,2:04:06,Tamirat TOLA,1991-08-11,ETH,3,Dubai (UAE),2018-01-26,26,29
34,2:04:06,Asefa MENGSTU,1988-01-22,ETH,4,Dubai (UAE),2018-01-26,30,32
35,2:04:06,Lawrence CHERONO,1988-08-07,KEN,1,Amsterdam (NED),2018-10-21,30,32
36,2:04:08,Sisay LEMMA,1990-12-12,ETH,5,Dubai (UAE),2018-01-26,27,29
37,2:04:11,Eliud KIPCHOGE,1984-11-05,KEN,1,"Chicago, IL (USA)",2014-10-12,29,36
38,2:04:11,Tamirat TOLA,1991-08-11,ETH,1,Dubai (UAE),2017-01-20,25,29
39,2:04:11,Marius KIPSEREM,1988-05-17,KEN,1,Rotterdam (NED),2019-04-07,30,32
40,2:04:12,Reuben KERIO,1994-06-02,KEN,5,Valencia (ESP),2020-12-06,26,26
41,2:04:15,Geoffrey MUTAI,1981-10-07,KEN,1,Berlin (GER),2012-09-30,30,39
42,2:04:15,Birhanu LEGESE,1994-09-11,ETH,6,Dubai (UAE),2018-01-26,23,26
43,2:04:15,Birhanu LEGESE,1994-09-11,ETH,1,Tokyo (JPN),2020-03-01,25,26
44,2:04:16,Dennis KIMETTO,1984-04-22,KEN,2,Berlin (GER),2012-09-30,28,36
45,2:04:16,Kaan Kigen ÖZBILEN,1986-01-15,TUR,2,Valencia (ESP),2019-12-01,33,34
46,2:04:17,Eliud KIPCHOGE,1984-11-05,KEN,1,London (GBR),2018-04-22,33,36
47,2:04:23,Ayele ABSHERO,1990-12-28,ETH,1,Dubai (UAE),2012-01-27,21,29
48,2:04:24,Tesfaye ABERA,1992-03-31,ETH,1,Dubai (UAE),2016-01-22,23,28
49,2:04:24,Asefa MENGSTU,1988-01-22,ETH,3,Dubai (UAE),2019-01-25,31,32
50,2:04:26,Haile GEBRSELASSIE,1973-04-18,ETH,1,Berlin (GER),2007-09-30,34,47
51,2:04:27,Duncan KIBET,1978-04-25,KEN,1,Rotterdam (NED),2009-04-05,30,42
52,2:04:27,James Kipsang KWAMBAI,1983-02-28,KEN,2,Rotterdam (NED),2009-04-05,26,37
53,2:04:28,Sammy KITWARA,1986-11-26,KEN,2,"Chicago, IL (USA)",2014-10-12,27,34
54,2:04:29,Wilson Kipsang KIPROTICH,1982-03-15,KEN,1,London (GBR),2014-04-13,32,38
55,2:04:31,Leul GEBRESILASE,1992-09-20,ETH,1,Valencia (ESP),2018-12-02,26,28
56,2:04:32,Tsegaye MEKONNEN,1995-06-15,ETH,1,Dubai (UAE),2014-01-24,18,25
57,2:04:32,Dickson CHUMBA,1986-10-27,KEN,3,"Chicago, IL (USA)",2014-10-12,27,34
58,2:04:33,Hayle LEMI,1994-09-13,ETH,2,Dubai (UAE),2016-01-22,21,26
59,2:04:37,Mule WASIHUN,1993-10-20,ETH,2,Amsterdam (NED),2018-10-21,25,27
60,2:04:38,Tsegaye KEBEDE,1987-01-15,ETH,1,"Chicago, IL (USA)",2012-10-07,25,33
61,2:04:40,Emmanuel MUTAI,1984-10-12,KEN,1,London (GBR),2011-04-17,26,36
62,2:04:40,Soloman DEKSISA,1994-03-11,ETH,3,Amsterdam (NED),2018-10-21,24,26
63,2:04:40,Reuben Kiprop KIPYEGO,1996-08-21,KEN,1,Abu Dhabi (UAE),2019-12-06,23,24
64,2:04:42,Eliud KIPCHOGE,1984-11-05,KEN,1,London (GBR),2015-04-26,30,36
65,2:04:42,Guye Idemo ADOLA,1990-10-20,ETH,3,Valencia (ESP),2019-12-01,29,30
66,2:04:43,El Hassan EL ABBASSI,1984-04-13,BRN,2,Valencia (ESP),2018-12-02,34,36
67,2:04:44,Wilson Kipsang KIPROTICH,1982-03-15,KEN,1,London (GBR),2012-04-22,30,38
68,2:04:44,Seifu TURA,1997-06-19,ETH,7,Dubai (UAE),2018-01-26,20,23
69,2:04:45,Lelisa DESISA,1990-01-14,ETH,1,Dubai (UAE),2013-01-25,23,30
70,2:04:46,Tsegaye MEKONNEN,1995-06-15,ETH,3,Dubai (UAE),2016-01-22,20,25
71,2:04:46,Titus EKIRU,1992-01-02,KEN,1,Milano (ITA),2019-04-07,27,28
72,2:04:46,Mekuant Ayenew GEBRE,1991-01-01,ETH,1,Sevilla (ESP),2020-02-23,29,29
73,2:04:47,Wilson Kipsang KIPROTICH,1982-03-15,KEN,2,London (GBR),2015-04-26,33,38
74,2:04:48,Patrick Makau MUSYOKI,1985-03-02,KEN,1,Rotterdam (NED),2010-04-11,25,35
75,2:04:48,Yemane TSEGAY,1985-04-08,ETH,1,Rotterdam (NED),2012-04-15,27,35
76,2:04:48,Berhanu SHIFERAW,1993-05-31,ETH,2,Dubai (UAE),2013-01-25,19,27
77,2:04:48,Birhanu LEGESE,1994-09-11,ETH,1,Tokyo (JPN),2019-03-03,24,26
78,2:04:49,Tadesse TOLA,1987-10-31,ETH,3,Dubai (UAE),2013-01-25,25,33
79,2:04:49,Shura KITATA,1996-06-09,ETH,2,London (GBR),2018-04-22,21,24
80,2:04:49,Bashir ABDI,1989-02-10,BEL,2,Tokyo (JPN),2020-03-01,31,31
81,2:04:50,Dino SEFIR,1988-05-28,ETH,2,Dubai (UAE),2012-01-27,23,32
82,2:04:50,Getu FELEKE,1986-11-28,ETH,2,Rotterdam (NED),2012-04-15,25,34
83,2:04:51,Abebe Negewo DEGEFA,1984-05-20,ETH,4,Valencia (ESP),2019-12-01,35,36
84,2:04:51,Sisay LEMMA,1990-12-12,ETH,3,Tokyo (JPN),2020-03-01,29,29
85,2:04:52,Feyisa LILESA,1990-02-01,ETH,2,"Chicago, IL (USA)",2012-10-07,22,30
86,2:04:52,Endeshaw NEGESSE,1988-03-13,ETH,4,Dubai (UAE),2013-01-25,24,32
87,2:04:53,Haile GEBRSELASSIE,1973-04-18,ETH,1,Dubai (UAE),2008-01-18,34,47
88,2:04:53,Bernard Kiprop KOECH,1988-01-31,KEN,5,Dubai (UAE),2013-01-25,24,32
89,2:04:53,Mathew Kipkoech KISORIO,1989-05-16,KEN,3,Valencia (ESP),2018-12-02,29,31
91,2:04:54,Markos GENETI,1984-06-07,ETH,3,Dubai (UAE),2012-01-27,27,36
92,2:04:55,Paul TERGAT,1969-06-17,KEN,1,Berlin (GER),2003-09-28,34,51
93,2:04:55,Geoffrey MUTAI,1981-10-07,KEN,2,Rotterdam (NED),2010-04-11,28,39
94,2:04:55,Stanley Kipleting BIWOTT,1986-04-21,KEN,2,London (GBR),2014-04-13,27,34
95,2:04:56,Sammy Kipchoge KORIR,1971-12-12,KEN,2,Berlin (GER),2003-09-28,31,48
96,2:04:56,Jonathan MAIYO,1988-05-05,KEN,4,Dubai (UAE),2012-01-27,23,32
97,2:04:57,Wilson Kipsang KIPROTICH,1982-03-15,KEN,1,Frankfurt (GER),2010-10-31,28,38
98,2:04:58,Sisay LEMMA,1990-12-12,ETH,1,Ljubljana (SLO),2018-10-28,27,29
99,2:05:00,Eliud KIPCHOGE,1984-11-05,KEN,1,Rotterdam (NED),2014-04-13,29,36
100,2:05:00,Evans CHEBET,1988-11-10,KEN,1,Buenos Aires (ARG),2019-09-22,30,32
101,2:05:00,Philemon RONO,1991-02-08,KEN,1,Toronto (CAN),2019-10-20,28,29
102,2:05:01,Shura KITATA,1996-06-09,ETH,4,London (GBR),2019-04-28,22,24
103,2:05:02,Emmanuel SAINA,1992-09-06,KEN,4,Dubai (UAE),2019-01-25,26,28
104,2:05:03,Moses MOSOP,1985-07-07,KEN,3,Rotterdam (NED),2012-04-15,26,35
105,2:05:04,Abel KIRUI,1982-06-04,KEN,3,Rotterdam (NED),2009-04-05,26,38
106,2:05:04,Kenenisa BEKELE,1982-06-13,ETH,1,Paris (FRA),2014-04-06,31,38
107,2:05:05,Barnabas KIPTUM,1986-12-08,KEN,2,Sevilla (ESP),2020-02-23,33,34
108,2:05:05,Abel KIRUI,1982-06-04,KEN,7,Valencia (ESP),2020-12-06,38,38
109,2:05:06,Geoffrey MUTAI,1981-10-07,KEN,1,"New York, NY (USA)",2011-11-06,30,39
110,2:05:08,Patrick Makau MUSYOKI,1985-03-02,KEN,1,Berlin (GER),2010-09-26,25,35
111,2:05:09,Lawrence CHERONO,1988-08-07,KEN,1,Amsterdam (NED),2017-10-15,29,32
112,2:05:09,Vincent KIPCHUMBA,1990-08-03,KEN,1,Amsterdam (NED),2019-10-20,29,30
113,2:05:09,Hayle LEMI,1994-09-13,ETH,2,Toronto (CAN),2019-10-20,25,26
114,2:05:10,Samuel Kamau WANJIRU,1986-11-10,KEN,1,London (GBR),2009-04-26,22,34
115,2:05:10,Geoffrey MUTAI,1981-10-07,KEN,2,Berlin (GER),2010-09-26,28,39
116,2:05:10,Tadesse TOLA,1987-10-31,ETH,5,Dubai (UAE),2012-01-27,24,33
117,2:05:11,Mo FARAH,1983-03-23,GBR,1,"Chicago, IL (USA)",2018-10-07,35,37
118,2:05:12,Stanley Kipleting BIWOTT,1986-04-21,KEN,1,Paris (FRA),2012-04-15,25,34
