,0,1,2,3,4,5,6,7,8
0,1,2:14:04,Brigid KOSGEI,20 FEB 1994,KEN,1,"Chicago, IL (USA)",13 OCT 2019,1295
1,2,2:15:25,Paula RADCLIFFE,17 DEC 1973,GBR,1,London (GBR),13 APR 2003,1281
2,3,2:17:01,Mary Jepkosgei KEITANY,18 JAN 1982,KEN,1,London (GBR),23 APR 2017,1264
3,4,2:17:08,Ruth CHEPNGETICH,08 AUG 1994,KEN,1,Dubai (UAE),25 JAN 2019,1263
4,5,2:17:16,Peres JEPCHIRCHIR,27 SEP 1993,KEN,1,Valencia (ESP),06 DEC 2020,1262
5,6,2:17:18,Paula RADCLIFFE,17 DEC 1973,GBR,1,"Chicago, IL (USA)",13 OCT 2002,1261
6,7,2:17:41,Worknesh DEGEFA,28 OCT 1990,ETH,2,Dubai (UAE),25 JAN 2019,1257
7,8,2:17:42,Paula RADCLIFFE,17 DEC 1973,GBR,1,London (GBR),17 APR 2005,1257
8,9,2:17:45,Lonah Chemtai SALPETER,12 DEC 1988,ISR,1,Tokyo (JPN),01 MAR 2020,1257
9,10,2:17:56,Tirunesh DIBABA,01 OCT 1985,ETH,2,London (GBR),23 APR 2017,1255
10,11,2:18:11,Gladys CHERONO,12 MAY 1983,KEN,1,Berlin (GER),16 SEP 2018,1252
11,12,2:18:20,Brigid KOSGEI,20 FEB 1994,KEN,1,London (GBR),28 APR 2019,1250
12,13,2:18:30,Roza DEREJE,09 MAY 1997,ETH,1,Valencia (ESP),01 DEC 2019,1249
13,14,2:18:31,Tirunesh DIBABA,01 OCT 1985,ETH,1,"Chicago, IL (USA)",08 OCT 2017,1249
14,14,2:18:31,Vivian Jepkemoi CHERUIYOT,11 SEP 1983,KEN,1,London (GBR),22 APR 2018,1249
15,16,2:18:33,Azmera ABREHA,31 JAN 1998,ETH,2,Valencia (ESP),01 DEC 2019,1248
16,17,2:18:34,Ruti AGA,16 JAN 1994,ETH,2,Berlin (GER),16 SEP 2018,1248
17,18,2:18:35,Brigid KOSGEI,20 FEB 1994,KEN,1,"Chicago, IL (USA)",07 OCT 2018,1248
18,18,2:18:35,Ruth CHEPNGETICH,08 AUG 1994,KEN,1,Istanbul (TUR),11 NOV 2018,1248
19,18,2:18:35,Birhane DIBABA,11 SEP 1993,ETH,2,Tokyo (JPN),01 MAR 2020,1248
20,21,2:18:37,Mary Jepkosgei KEITANY,18 JAN 1982,KEN,1,London (GBR),22 APR 2012,1248
21,22,2:18:40,Joyciline JEPKOSGEI,08 DEC 1993,KEN,2,Valencia (ESP),06 DEC 2020,1247
22,23,2:18:46,Birhane DIBABA,11 SEP 1993,ETH,3,Valencia (ESP),01 DEC 2019,1246
23,24,2:18:47,Catherine NDEREBA,21 JUL 1972,KEN,1,"Chicago, IL (USA)",07 OCT 2001,1246
24,25,2:18:52,Vivian Jepkemoi CHERUIYOT,11 SEP 1983,KEN,4,Valencia (ESP),01 DEC 2019,1245
25,26,2:18:55,Tirunesh DIBABA,01 OCT 1985,ETH,3,Berlin (GER),16 SEP 2018,1244
26,27,2:18:56,Paula RADCLIFFE,17 DEC 1973,GBR,1,London (GBR),14 APR 2002,1244
27,28,2:18:58,Tiki GELANA,22 OCT 1987,ETH,1,Rotterdam (NED),15 APR 2012,1244
28,28,2:18:58,Brigid KOSGEI,20 FEB 1994,KEN,1,London (GBR),04 OCT 2020,1244
29,30,2:19:10,Valary JEMELI,08 JUN 1991,KEN,1,Frankfurt (GER),27 OCT 2019,1242
30,31,2:19:12,Mizuki NOGUCHI,03 JUL 1978,JPN,1,Berlin (GER),25 SEP 2005,1242
31,32,2:19:17,Roza DEREJE,09 MAY 1997,ETH,1,Dubai (UAE),26 JAN 2018,1241
32,33,2:19:19,Irina MIKITENKO,23 AUG 1972,GER,1,Berlin (GER),28 SEP 2008,1240
33,33,2:19:19,Mary Jepkosgei KEITANY,18 JAN 1982,KEN,1,London (GBR),17 APR 2011,1240
34,35,2:19:25,Gladys CHERONO,12 MAY 1983,KEN,1,Berlin (GER),27 SEP 2015,1239
35,36,2:19:26,Catherine NDEREBA,21 JUL 1972,KEN,2,"Chicago, IL (USA)",13 OCT 2002,1239
36,36,2:19:26,Degitu AZIMERAW,24 JAN 1999,ETH,1,Amsterdam (NED),20 OCT 2019,1239
37,38,2:19:28,Zeineba YIMER,17 JUN 1998,ETH,5,Valencia (ESP),01 DEC 2019,1239
38,39,2:19:30,Boru Feyse TADESE,19 NOV 1988,ETH,2,Dubai (UAE),26 JAN 2018,1238
39,40,2:19:31,Asselefech MEDESSA MERGIA,23 JAN 1985,ETH,1,Dubai (UAE),27 JAN 2012,1238
40,41,2:19:34,Lucy Kabuu WANGUI,24 MAR 1984,KEN,2,Dubai (UAE),27 JAN 2012,1238
41,42,2:19:36,Deena KASTOR,14 FEB 1973,USA,1,London (GBR),23 APR 2006,1237
42,42,2:19:36,Yebrgual MELESE,18 APR 1990,ETH,3,Dubai (UAE),26 JAN 2018,1237
43,44,2:19:38,Worknesh DEGEFA,28 OCT 1990,ETH,1,Dubai (UAE),24 JAN 2020,1237
44,45,2:19:39,Yingjie SUN,19 JAN 1979,CHN,1,Beijing (CHN),19 OCT 2003,1237
45,46,2:19:41,Yoko SHIBUI,14 MAR 1979,JPN,1,Berlin (GER),26 SEP 2004,1237
46,46,2:19:41,Tirfi TSEGAYE,25 NOV 1984,ETH,1,Dubai (UAE),22 JAN 2016,1237
47,48,2:19:44,Florence KIPLAGAT,27 FEB 1987,KEN,1,Berlin (GER),25 SEP 2011,1236
