Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Age at race,Current age,Year of the race,TimeSec
0,2:14:04,Brigid KOSGEI,1994-02-20,KEN,1,"Chicago, IL (USA)",2019-10-13,25,26,2019,8044.0
1,2:15:25,Paula RADCLIFFE,1973-12-17,GBR,1,London (GBR),2003-04-13,29,46,2003,8125.0
2,2:17:01,Mary Jepkosgei KEITANY,1982-01-18,KEN,1,London (GBR),2017-04-23,35,38,2017,8221.0
3,2:17:08,Ruth CHEPNGETICH,1994-08-08,KEN,1,Dubai (UAE),2019-01-25,24,26,2019,8228.0
4,2:17:16,Peres JEPCHIRCHIR,1993-09-27,KEN,1,Valencia (ESP),2020-12-06,27,27,2020,8236.0
5,2:17:18,Paula RADCLIFFE,1973-12-17,GBR,1,"Chicago, IL (USA)",2002-10-13,28,46,2002,8238.0
6,2:17:41,Worknesh DEGEFA,1990-10-28,ETH,2,Dubai (UAE),2019-01-25,28,30,2019,8261.0
7,2:17:42,Paula RADCLIFFE,1973-12-17,GBR,1,London (GBR),2005-04-17,31,46,2005,8262.0
8,2:17:45,Lonah Chemtai SALPETER,1988-12-12,ISR,1,Tokyo (JPN),2020-03-01,31,32,2020,8265.0
9,2:17:56,Tirunesh DIBABA,1985-10-01,ETH,2,London (GBR),2017-04-23,31,35,2017,8276.0
10,2:18:11,Gladys CHERONO,1983-05-12,KEN,1,Berlin (GER),2018-09-16,35,37,2018,8291.0
11,2:18:20,Brigid KOSGEI,1994-02-20,KEN,1,London (GBR),2019-04-28,25,26,2019,8300.0
12,2:18:30,Roza DEREJE,1997-05-09,ETH,1,Valencia (ESP),2019-12-01,22,23,2019,8310.0
13,2:18:31,Tirunesh DIBABA,1985-10-01,ETH,1,"Chicago, IL (USA)",2017-10-08,32,35,2017,8311.0
14,2:18:31,Vivian Jepkemoi CHERUIYOT,1983-09-11,KEN,1,London (GBR),2018-04-22,34,37,2018,8311.0
15,2:18:33,Azmera ABREHA,1998-01-31,ETH,2,Valencia (ESP),2019-12-01,21,22,2019,8313.0
16,2:18:34,Ruti AGA,1994-01-16,ETH,2,Berlin (GER),2018-09-16,24,26,2018,8314.0
17,2:18:35,Brigid KOSGEI,1994-02-20,KEN,1,"Chicago, IL (USA)",2018-10-07,24,26,2018,8315.0
18,2:18:35,Ruth CHEPNGETICH,1994-08-08,KEN,1,Istanbul (TUR),2018-11-11,24,26,2018,8315.0
19,2:18:35,Birhane DIBABA,1993-09-11,ETH,2,Tokyo (JPN),2020-03-01,26,27,2020,8315.0
20,2:18:37,Mary Jepkosgei KEITANY,1982-01-18,KEN,1,London (GBR),2012-04-22,30,38,2012,8317.0
21,2:18:40,Joyciline JEPKOSGEI,1993-12-08,KEN,2,Valencia (ESP),2020-12-06,26,27,2020,8320.0
22,2:18:46,Birhane DIBABA,1993-09-11,ETH,3,Valencia (ESP),2019-12-01,26,27,2019,8326.0
23,2:18:47,Catherine NDEREBA,1972-07-21,KEN,1,"Chicago, IL (USA)",2001-10-07,29,48,2001,8327.0
24,2:18:52,Vivian Jepkemoi CHERUIYOT,1983-09-11,KEN,4,Valencia (ESP),2019-12-01,36,37,2019,8332.0
25,2:18:55,Tirunesh DIBABA,1985-10-01,ETH,3,Berlin (GER),2018-09-16,32,35,2018,8335.0
26,2:18:56,Paula RADCLIFFE,1973-12-17,GBR,1,London (GBR),2002-04-14,28,46,2002,8336.0
27,2:18:58,Tiki GELANA,1987-10-22,ETH,1,Rotterdam (NED),2012-04-15,24,33,2012,8338.0
28,2:18:58,Brigid KOSGEI,1994-02-20,KEN,1,London (GBR),2020-10-04,26,26,2020,8338.0
29,2:19:10,Valary JEMELI,1991-06-08,KEN,1,Frankfurt (GER),2019-10-27,28,29,2019,8350.0
30,2:19:12,Mizuki NOGUCHI,1978-07-03,JPN,1,Berlin (GER),2005-09-25,27,42,2005,8352.0
31,2:19:17,Roza DEREJE,1997-05-09,ETH,1,Dubai (UAE),2018-01-26,20,23,2018,8357.0
32,2:19:19,Irina MIKITENKO,1972-08-23,GER,1,Berlin (GER),2008-09-28,36,48,2008,8359.0
33,2:19:19,Mary Jepkosgei KEITANY,1982-01-18,KEN,1,London (GBR),2011-04-17,29,38,2011,8359.0
34,2:19:25,Gladys CHERONO,1983-05-12,KEN,1,Berlin (GER),2015-09-27,32,37,2015,8365.0
35,2:19:26,Catherine NDEREBA,1972-07-21,KEN,2,"Chicago, IL (USA)",2002-10-13,30,48,2002,8366.0
36,2:19:26,Degitu AZIMERAW,1999-01-24,ETH,1,Amsterdam (NED),2019-10-20,20,21,2019,8366.0
37,2:19:28,Zeineba YIMER,1998-06-17,ETH,5,Valencia (ESP),2019-12-01,21,22,2019,8368.0
38,2:19:30,Boru Feyse TADESE,1988-11-19,ETH,2,Dubai (UAE),2018-01-26,29,32,2018,8370.0
39,2:19:31,Asselefech MEDESSA MERGIA,1985-01-23,ETH,1,Dubai (UAE),2012-01-27,27,35,2012,8371.0
40,2:19:34,Lucy Kabuu WANGUI,1984-03-24,KEN,2,Dubai (UAE),2012-01-27,27,36,2012,8374.0
41,2:19:36,Deena KASTOR,1973-02-14,USA,1,London (GBR),2006-04-23,33,47,2006,8376.0
42,2:19:36,Yebrgual MELESE,1990-04-18,ETH,3,Dubai (UAE),2018-01-26,27,30,2018,8376.0
